Наименование города,Месяц,Средняя продолжительность светового дня
Барнаул,Январь,07:49:02.064515
Барнаул,Февраль,09:41:53.827586
Барнаул,Март,11:58:22.806451
Барнаул,Апрель,14:18:32.299999
Барнаул,Май,16:24:08.032258
Барнаул,Июнь,17:32:28.799999
Барнаул,Июль,16:55:57.387096
Барнаул,Август,15:01:50.548387
Барнаул,Сентябрь,12:45:50.400000
Барнаул,Октябрь,10:27:21.580645
Барнаул,Ноябрь,08:21:22.133333
Барнаул,Декабрь,07:12:17.129032
Благовещенск,Январь,08:38:43.032258
Благовещенск,Февраль,09:41:53.827586
Благовещенск,Март,11:58:22.806451
Благовещенск,Апрель,14:18:32.299999
Благовещенск,Май,16:24:08.032258
Благовещенск,Июнь,17:32:28.799999
Благовещенск,Июль,16:55:57.387096
Благовещенск,Август,15:01:50.548387
Благовещенск,Сентябрь,12:45:50.400000
Благовещенск,Октябрь,10:27:21.580645
Благовещенск,Ноябрь,09:05:09.733333
Благовещенск,Декабрь,07:12:17.129032
Архангельск,Январь,07:49:02.064515
Архангельск,Февраль,09:41:53.827586
Архангельск,Март,11:58:22.806451
Архангельск,Апрель,14:18:32.299999
Архангельск,Май,16:24:08.032258
Архангельск,Июнь,17:32:28.799999
Архангельск,Июль,19:55:44.354838
Архангельск,Август,15:01:50.548387
Архангельск,Сентябрь,12:45:50.400000
Архангельск,Октябрь,10:27:21.580645
Архангельск,Ноябрь,08:21:22.133333
Архангельск,Декабрь,07:12:17.129032
Астрахань,Январь,07:49:02.064515
Астрахань,Февраль,09:41:53.827586
Астрахань,Март,11:58:22.806451
Астрахань,Апрель,14:18:32.299999
Астрахань,Май,16:24:08.032258
Астрахань,Июнь,17:32:28.799999
Астрахань,Июль,16:55:57.387096
Астрахань,Август,15:01:50.548387
Астрахань,Сентябрь,12:45:50.400000
Астрахань,Октябрь,10:27:21.580645
Астрахань,Ноябрь,08:21:22.133333
Астрахань,Декабрь,07:12:17.129032
Белгород,Январь,07:49:02.064515
Белгород,Февраль,10:07:08.172413
Белгород,Март,11:58:22.806451
Белгород,Апрель,14:18:32.299999
Белгород,Май,16:24:08.032258
Белгород,Июнь,17:32:28.799999
Белгород,Июль,16:55:57.387096
Белгород,Август,14:30:16.161289
Белгород,Сентябрь,12:38:50.400000
Белгород,Октябрь,10:27:21.580645
Белгород,Ноябрь,08:21:22.133333
Белгород,Декабрь,07:12:17.129032
Брянск,Январь,07:49:02.064515
Брянск,Февраль,09:41:53.827586
Брянск,Март,11:58:22.806451
Брянск,Апрель,14:18:32.299999
Брянск,Май,16:24:08.032258
Брянск,Июнь,17:32:28.799999
Брянск,Июль,16:55:57.387096
Брянск,Август,14:45:22.548387
Брянск,Сентябрь,12:45:50.400000
Брянск,Октябрь,10:27:21.580645
Брянск,Ноябрь,08:21:22.133333
Брянск,Декабрь,07:12:17.129032
Владимир,Январь,07:49:02.064515
Владимир,Февраль,09:41:53.827586
Владимир,Март,11:58:14.741935
Владимир,Апрель,14:18:32.299999
Владимир,Май,16:28:23.870967
Владимир,Июнь,17:38:19.333333
Владимир,Июль,16:55:57.387096
Владимир,Август,15:01:50.548387
Владимир,Сентябрь,12:45:50.400000
Владимир,Октябрь,10:27:21.580645
Владимир,Ноябрь,08:21:22.133333
Владимир,Декабрь,07:12:17.129032
Волгоград,Январь,07:49:02.064515
Волгоград,Февраль,09:41:53.827586
Волгоград,Март,11:58:22.806451
Волгоград,Апрель,13:47:48.466666
Волгоград,Май,16:24:08.032258
Волгоград,Июнь,17:32:28.799999
Волгоград,Июль,16:55:57.387096
Волгоград,Август,15:01:50.548387
Волгоград,Сентябрь,12:45:50.400000
Волгоград,Октябрь,10:27:21.580645
Волгоград,Ноябрь,08:21:22.133333
Волгоград,Декабрь,07:12:17.129032
Вологда,Январь,07:06:39.225806
Вологда,Февраль,09:41:53.827586
Вологда,Март,11:58:22.806451
Вологда,Апрель,14:18:32.299999
Вологда,Май,16:24:08.032258
Вологда,Июнь,17:32:28.799999
Вологда,Июль,16:55:57.387096
Вологда,Август,15:01:50.548387
Вологда,Сентябрь,12:45:50.400000
Вологда,Октябрь,10:27:21.580645
Вологда,Ноябрь,08:21:22.133333
Вологда,Декабрь,07:12:17.129032
Воронеж,Январь,07:49:02.064515
Воронеж,Февраль,09:41:53.827586
Воронеж,Март,11:58:22.806451
Воронеж,Апрель,14:18:32.299999
Воронеж,Май,16:24:08.032258
Воронеж,Июнь,17:32:28.799999
Воронеж,Июль,16:55:57.387096
Воронеж,Август,15:01:50.548387
Воронеж,Сентябрь,12:45:50.400000
Воронеж,Октябрь,10:27:21.580645
Воронеж,Ноябрь,08:54:40.400000
Воронеж,Декабрь,07:12:17.129032
Севастополь,Январь,07:49:02.064515
Севастополь,Февраль,10:30:15.551724
Севастополь,Март,11:58:22.806451
Севастополь,Апрель,14:18:32.299999
Севастополь,Май,16:24:08.032258
Севастополь,Июнь,17:32:28.799999
Севастополь,Июль,16:55:57.387096
Севастополь,Август,14:01:56.032258
Севастополь,Сентябрь,12:45:50.400000
Севастополь,Октябрь,10:27:21.580645
Севастополь,Ноябрь,08:21:22.133333
Севастополь,Декабрь,07:12:17.129032
Биробиджан,Январь,07:49:02.064515
Биробиджан,Февраль,09:41:53.827586
Биробиджан,Март,11:58:22.806451
Биробиджан,Апрель,14:18:32.299999
Биробиджан,Май,16:24:08.032258
Биробиджан,Июнь,17:32:28.799999
Биробиджан,Июль,16:55:57.387096
Биробиджан,Август,15:01:50.548387
Биробиджан,Сентябрь,12:45:50.400000
Биробиджан,Октябрь,10:50:25.387096
Биробиджан,Ноябрь,08:21:22.133333
Биробиджан,Декабрь,07:12:17.129032
Чита,Январь,07:49:02.064515
Чита,Февраль,09:41:53.827586
Чита,Март,11:58:22.806451
Чита,Апрель,14:18:32.299999
Чита,Май,16:24:08.032258
Чита,Июнь,16:43:39.866666
Чита,Июль,16:55:57.387096
Чита,Август,15:01:50.548387
Чита,Сентябрь,12:45:50.400000
Чита,Октябрь,10:27:21.580645
Чита,Ноябрь,08:21:22.133333
Чита,Декабрь,07:12:17.129032
Иваново,Январь,07:49:02.064515
Иваново,Февраль,09:41:53.827586
Иваново,Март,11:58:22.806451
Иваново,Апрель,14:18:32.299999
Иваново,Май,16:24:08.032258
Иваново,Июнь,17:32:28.799999
Иваново,Июль,16:55:57.387096
Иваново,Август,15:01:50.548387
Иваново,Сентябрь,12:45:50.400000
Иваново,Октябрь,10:27:21.580645
Иваново,Ноябрь,08:21:22.133333
Иваново,Декабрь,07:12:17.129032
Иркутск,Январь,07:49:02.064515
Иркутск,Февраль,09:41:53.827586
Иркутск,Март,11:58:22.806451
Иркутск,Апрель,14:18:32.299999
Иркутск,Май,16:24:08.032258
Иркутск,Июнь,17:32:28.799999
Иркутск,Июль,16:55:57.387096
Иркутск,Август,15:01:50.548387
Иркутск,Сентябрь,12:45:50.400000
Иркутск,Октябрь,10:27:21.580645
Иркутск,Ноябрь,08:21:22.133333
Иркутск,Декабрь,07:12:17.129032
Нальчик,Январь,07:49:02.064515
Нальчик,Февраль,09:41:53.827586
Нальчик,Март,11:58:22.806451
Нальчик,Апрель,13:30:33.333334
Нальчик,Май,16:24:08.032258
Нальчик,Июнь,17:32:28.799999
Нальчик,Июль,16:55:57.387096
Нальчик,Август,13:57:35
Нальчик,Сентябрь,12:45:50.400000
Нальчик,Октябрь,10:27:21.580645
Нальчик,Ноябрь,08:21:22.133333
Нальчик,Декабрь,07:12:17.129032
Калининград,Январь,07:49:02.064515
Калининград,Февраль,09:41:53.827586
Калининград,Март,11:58:22.806451
Калининград,Апрель,14:18:32.299999
Калининград,Май,16:24:08.032258
Калининград,Июнь,17:32:28.799999
Калининград,Июль,16:55:57.387096
Калининград,Август,15:01:50.548387
Калининград,Сентябрь,12:45:50.400000
Калининград,Октябрь,10:27:21.580645
Калининград,Ноябрь,08:21:22.133333
Калининград,Декабрь,07:12:17.129032
Калуга,Январь,07:49:02.064515
Калуга,Февраль,09:41:53.827586
Калуга,Март,11:58:22.806451
Калуга,Апрель,14:18:32.299999
Калуга,Май,16:24:08.032258
Калуга,Июнь,17:32:28.799999
Калуга,Июль,16:40:59.741935
Калуга,Август,15:01:50.548387
Калуга,Сентябрь,12:45:50.400000
Калуга,Октябрь,10:27:21.580645
Калуга,Ноябрь,08:21:22.133333
Калуга,Декабрь,07:12:17.129032
Петропавловск-Камчатский,Январь,07:49:02.064515
Петропавловск-Камчатский,Февраль,09:41:53.827586
Петропавловск-Камчатский,Март,11:58:22.806451
Петропавловск-Камчатский,Апрель,14:18:32.299999
Петропавловск-Камчатский,Май,16:24:08.032258
Петропавловск-Камчатский,Июнь,17:32:28.799999
Петропавловск-Камчатский,Июль,16:55:57.387096
Петропавловск-Камчатский,Август,15:01:50.548387
Петропавловск-Камчатский,Сентябрь,12:45:50.400000
Петропавловск-Камчатский,Октябрь,10:27:21.580645
Петропавловск-Камчатский,Ноябрь,08:21:22.133333
Петропавловск-Камчатский,Декабрь,07:12:17.129032
Черкесск,Январь,07:49:02.064515
Черкесск,Февраль,09:41:53.827586
Черкесск,Март,11:58:22.806451
Черкесск,Апрель,14:18:32.299999
Черкесск,Май,16:24:08.032258
Черкесск,Июнь,17:32:28.799999
Черкесск,Июль,16:55:57.387096
Черкесск,Август,15:01:50.548387
Черкесск,Сентябрь,12:45:50.400000
Черкесск,Октябрь,10:27:21.580645
Черкесск,Ноябрь,08:21:22.133333
Черкесск,Декабрь,07:12:17.129032
Кемерово,Январь,07:49:02.064515
Кемерово,Февраль,09:41:53.827586
Кемерово,Март,11:58:22.806451
Кемерово,Апрель,14:18:32.299999
Кемерово,Май,16:24:08.032258
Кемерово,Июнь,17:32:28.799999
Кемерово,Июль,16:55:57.387096
Кемерово,Август,15:01:50.548387
Кемерово,Сентябрь,12:45:50.400000
Кемерово,Октябрь,10:27:21.580645
Кемерово,Ноябрь,08:21:22.133333
Кемерово,Декабрь,07:12:17.129032
Киров,Январь,07:49:02.064515
Киров,Февраль,09:41:53.827586
Киров,Март,11:58:22.806451
Киров,Апрель,14:18:32.299999
Киров,Май,16:24:08.032258
Киров,Июнь,17:32:28.799999
Киров,Июль,16:55:57.387096
Киров,Август,15:01:50.548387
Киров,Сентябрь,12:45:50.400000
Киров,Октябрь,10:27:21.580645
Киров,Ноябрь,08:21:22.133333
Киров,Декабрь,07:12:17.129032
Кострома,Январь,07:49:02.064515
Кострома,Февраль,09:41:53.827586
Кострома,Март,11:58:22.806451
Кострома,Апрель,14:29:37.133333
Кострома,Май,16:24:08.032258
Кострома,Июнь,17:32:28.799999
Кострома,Июль,16:55:57.387096
Кострома,Август,15:01:50.548387
Кострома,Сентябрь,12:45:50.400000
Кострома,Октябрь,10:19:25.709677
Кострома,Ноябрь,08:21:22.133333
Кострома,Декабрь,07:12:17.129032
Краснодар,Январь,07:49:02.064515
Краснодар,Февраль,10:28:38.758620
Краснодар,Март,11:58:22.806451
Краснодар,Апрель,14:18:32.299999
Краснодар,Май,16:24:08.032258
Краснодар,Июнь,17:32:28.799999
Краснодар,Июль,16:55:57.387096
Краснодар,Август,15:01:50.548387
Краснодар,Сентябрь,12:45:50.400000
Краснодар,Октябрь,10:27:21.580645
Краснодар,Ноябрь,08:21:22.133333
Краснодар,Декабрь,07:12:17.129032
Красноярск,Январь,07:45:42.161290
Красноярск,Февраль,09:41:53.827586
Красноярск,Март,11:57:35.645161
Красноярск,Апрель,14:18:32.299999
Красноярск,Май,16:24:08.032258
Красноярск,Июнь,17:32:28.799999
Красноярск,Июль,16:55:57.387096
Красноярск,Август,15:04:23.741935
Красноярск,Сентябрь,12:45:50.400000
Красноярск,Октябрь,10:27:21.580645
Красноярск,Ноябрь,08:21:22.133333
Красноярск,Декабрь,07:12:17.129032
Курган,Январь,07:49:02.064515
Курган,Февраль,09:41:53.827586
Курган,Март,11:58:22.806451
Курган,Апрель,14:16:37.933333
Курган,Май,16:24:08.032258
Курган,Июнь,17:32:28.799999
Курган,Июль,16:55:57.387096
Курган,Август,15:01:50.548387
Курган,Сентябрь,12:45:50.400000
Курган,Октябрь,10:27:21.580645
Курган,Ноябрь,08:21:22.133333
Курган,Декабрь,07:12:17.129032
Курск,Январь,07:49:02.064515
Курск,Февраль,09:41:53.827586
Курск,Март,11:58:22.806451
Курск,Апрель,13:59:45.333333
Курск,Май,16:24:08.032258
Курск,Июнь,17:32:28.799999
Курск,Июль,16:55:57.387096
Курск,Август,15:01:50.548387
Курск,Сентябрь,12:45:50.400000
Курск,Октябрь,10:27:21.580645
Курск,Ноябрь,08:21:22.133333
Курск,Декабрь,07:12:17.129032
Гатчина,Январь,07:49:02.064515
Гатчина,Февраль,09:41:53.827586
Гатчина,Март,11:58:22.806451
Гатчина,Апрель,14:18:32.299999
Гатчина,Май,16:24:08.032258
Гатчина,Июнь,17:32:28.799999
Гатчина,Июль,16:55:57.387096
Гатчина,Август,15:01:50.548387
Гатчина,Сентябрь,12:45:50.400000
Гатчина,Октябрь,10:27:21.580645
Гатчина,Ноябрь,08:21:22.133333
Гатчина,Декабрь,07:12:17.129032
Липецк,Январь,07:49:02.064515
Липецк,Февраль,09:41:53.827586
Липецк,Март,11:58:22.806451
Липецк,Апрель,14:18:32.299999
Липецк,Май,16:24:08.032258
Липецк,Июнь,17:32:28.799999
Липецк,Июль,16:55:57.387096
Липецк,Август,15:01:50.548387
Липецк,Сентябрь,12:45:50.400000
Липецк,Октябрь,10:27:21.580645
Липецк,Ноябрь,08:21:22.133333
Липецк,Декабрь,07:12:17.129032
Магадан,Январь,07:49:02.064515
Магадан,Февраль,09:16:26.620689
Магадан,Март,11:58:22.806451
Магадан,Апрель,14:18:32.299999
Магадан,Май,16:24:08.032258
Магадан,Июнь,18:40:25.866666
Магадан,Июль,16:55:57.387096
Магадан,Август,15:01:50.548387
Магадан,Сентябрь,12:45:50.400000
Магадан,Октябрь,10:27:21.580645
Магадан,Ноябрь,08:21:22.133333
Магадан,Декабрь,07:12:17.129032
Москва,Январь,07:49:02.064515
Москва,Февраль,09:41:53.827586
Москва,Март,11:58:22.806451
Москва,Апрель,14:18:32.299999
Москва,Май,16:24:08.032258
Москва,Июнь,17:32:28.799999
Москва,Июль,16:55:57.387096
Москва,Август,15:01:50.548387
Москва,Сентябрь,12:45:50.400000
Москва,Октябрь,10:27:21.580645
Москва,Ноябрь,08:21:22.133333
Москва,Декабрь,07:12:17.129032
Москва,Январь,07:49:02.064515
Москва,Февраль,09:41:53.827586
Москва,Март,11:58:22.806451
Москва,Апрель,14:18:32.299999
Москва,Май,16:24:08.032258
Москва,Июнь,17:32:28.799999
Москва,Июль,16:55:57.387096
Москва,Август,15:01:50.548387
Москва,Сентябрь,12:45:50.400000
Москва,Октябрь,10:27:21.580645
Москва,Ноябрь,08:21:22.133333
Москва,Декабрь,07:12:17.129032
Мурманск,Январь,07:49:02.064515
Мурманск,Февраль,07:39:35.068965
Мурманск,Март,11:53:58.935483
Мурманск,Апрель,16:14:03.133333
Мурманск,Май,16:24:08.032258
Мурманск,Июнь,17:32:28.799999
Мурманск,Июль,16:55:57.387096
Мурманск,Август,15:01:50.548387
Мурманск,Сентябрь,13:18:49.866667
Мурманск,Октябрь,10:27:21.580645
Мурманск,Ноябрь,08:21:22.133333
Мурманск,Декабрь,07:12:17.129032
Нарьян-Мар,Январь,07:49:02.064515
Нарьян-Мар,Февраль,09:41:53.827586
Нарьян-Мар,Март,11:58:22.806451
Нарьян-Мар,Апрель,14:18:32.299999
Нарьян-Мар,Май,16:24:08.032258
Нарьян-Мар,Июнь,17:32:28.799999
Нарьян-Мар,Июль,16:55:57.387096
Нарьян-Мар,Август,15:01:50.548387
Нарьян-Мар,Сентябрь,12:45:50.400000
Нарьян-Мар,Октябрь,10:27:21.580645
Нарьян-Мар,Ноябрь,08:21:22.133333
Нарьян-Мар,Декабрь,07:12:17.129032
Нижний Новгород,Январь,07:49:02.064515
Нижний Новгород,Февраль,09:41:53.827586
Нижний Новгород,Март,11:58:22.806451
Нижний Новгород,Апрель,14:18:32.299999
Нижний Новгород,Май,16:24:08.032258
Нижний Новгород,Июнь,17:32:28.799999
Нижний Новгород,Июль,16:55:57.387096
Нижний Новгород,Август,15:01:50.548387
Нижний Новгород,Сентябрь,12:45:50.400000
Нижний Новгород,Октябрь,10:27:21.580645
Нижний Новгород,Ноябрь,08:21:22.133333
Нижний Новгород,Декабрь,07:12:17.129032
Великий Новгород,Январь,07:49:02.064515
Великий Новгород,Февраль,09:41:53.827586
Великий Новгород,Март,11:58:22.806451
Великий Новгород,Апрель,14:34:17.266666
Великий Новгород,Май,16:24:08.032258
Великий Новгород,Июнь,17:32:28.799999
Великий Новгород,Июль,16:55:57.387096
Великий Новгород,Август,15:01:50.548387
Великий Новгород,Сентябрь,12:45:50.400000
Великий Новгород,Октябрь,10:27:21.580645
Великий Новгород,Ноябрь,08:21:22.133333
Великий Новгород,Декабрь,07:12:17.129032
Новосибирск,Январь,07:49:02.064515
Новосибирск,Февраль,09:41:53.827586
Новосибирск,Март,11:58:22.806451
Новосибирск,Апрель,14:18:32.299999
Новосибирск,Май,16:24:08.032258
Новосибирск,Июнь,17:32:28.799999
Новосибирск,Июль,16:55:57.387096
Новосибирск,Август,15:01:50.548387
Новосибирск,Сентябрь,12:45:50.400000
Новосибирск,Октябрь,10:27:21.580645
Новосибирск,Ноябрь,08:21:22.133333
Новосибирск,Декабрь,07:12:17.129032
Омск,Январь,07:49:02.064515
Омск,Февраль,09:41:53.827586
Омск,Март,11:58:22.806451
Омск,Апрель,14:18:32.299999
Омск,Май,16:24:08.032258
Омск,Июнь,17:32:28.799999
Омск,Июль,16:55:57.387096
Омск,Август,15:01:50.548387
Омск,Сентябрь,12:45:50.400000
Омск,Октябрь,10:27:21.580645
Омск,Ноябрь,08:21:22.133333
Омск,Декабрь,07:12:17.129032
Оренбург,Январь,07:49:02.064515
Оренбург,Февраль,09:41:53.827586
Оренбург,Март,11:58:22.806451
Оренбург,Апрель,14:18:32.299999
Оренбург,Май,16:24:08.032258
Оренбург,Июнь,16:40:47.700000
Оренбург,Июль,16:55:57.387096
Оренбург,Август,15:01:50.548387
Оренбург,Сентябрь,12:45:50.400000
Оренбург,Октябрь,10:27:21.580645
Оренбург,Ноябрь,08:21:22.133333
Оренбург,Декабрь,07:12:17.129032
Орёл,Январь,07:49:02.064515
Орёл,Февраль,09:41:53.827586
Орёл,Март,11:58:22.806451
Орёл,Апрель,14:18:32.299999
Орёл,Май,16:24:08.032258
Орёл,Июнь,17:32:28.799999
Орёл,Июль,16:55:57.387096
Орёл,Август,15:01:50.548387
Орёл,Сентябрь,12:45:50.400000
Орёл,Октябрь,10:27:21.580645
Орёл,Ноябрь,08:21:22.133333
Орёл,Декабрь,07:12:17.129032
Пенза,Январь,07:49:02.064515
Пенза,Февраль,09:41:53.827586
Пенза,Март,11:58:22.806451
Пенза,Апрель,14:18:32.299999
Пенза,Май,16:24:08.032258
Пенза,Июнь,17:32:28.799999
Пенза,Июль,16:55:57.387096
Пенза,Август,15:01:50.548387
Пенза,Сентябрь,12:45:50.400000
Пенза,Октябрь,10:27:21.580645
Пенза,Ноябрь,08:43:07.566666
Пенза,Декабрь,07:12:17.129032
Пермь,Январь,07:49:02.064515
Пермь,Февраль,09:41:53.827586
Пермь,Март,11:58:22.806451
Пермь,Апрель,14:18:32.299999
Пермь,Май,16:24:08.032258
Пермь,Июнь,17:32:28.799999
Пермь,Июль,16:55:57.387096
Пермь,Август,15:01:50.548387
Пермь,Сентябрь,12:45:50.400000
Пермь,Октябрь,10:27:21.580645
Пермь,Ноябрь,08:21:22.133333
Пермь,Декабрь,07:12:17.129032
Владивосток,Январь,07:49:02.064515
Владивосток,Февраль,09:41:53.827586
Владивосток,Март,11:58:22.806451
Владивосток,Апрель,14:18:32.299999
