Наименование города,Месяц,Средняя продолжительность светового дня
Владивосток,Май,16:24:08.032258
Владивосток,Июнь,17:32:28.799999
Владивосток,Июль,16:55:57.387096
Владивосток,Август,15:01:50.548387
Владивосток,Сентябрь,12:45:50.400000
Владивосток,Октябрь,10:27:21.580645
Владивосток,Ноябрь,08:21:22.133333
Владивосток,Декабрь,09:06:45.129032
Псков,Январь,07:49:02.064515
Псков,Февраль,09:29:48.620689
Псков,Март,11:58:22.806451
Псков,Апрель,14:18:32.299999
Псков,Май,16:24:08.032258
Псков,Июнь,17:32:28.799999
Псков,Июль,16:55:57.387096
Псков,Август,15:01:50.548387
Псков,Сентябрь,12:45:50.400000
Псков,Октябрь,10:27:21.580645
Псков,Ноябрь,08:21:22.133333
Псков,Декабрь,07:12:17.129032
Майкоп,Январь,07:49:02.064515
Майкоп,Февраль,09:41:53.827586
Майкоп,Март,11:58:22.806451
Майкоп,Апрель,14:18:32.299999
Майкоп,Май,16:24:08.032258
Майкоп,Июнь,17:32:28.799999
Майкоп,Июль,16:55:57.387096
Майкоп,Август,15:01:50.548387
Майкоп,Сентябрь,12:45:50.400000
Майкоп,Октябрь,10:27:21.580645
Майкоп,Ноябрь,08:21:22.133333
Майкоп,Декабрь,07:12:17.129032
Горно-Алтайск,Январь,07:49:02.064515
Горно-Алтайск,Февраль,09:41:53.827586
Горно-Алтайск,Март,11:58:22.806451
Горно-Алтайск,Апрель,14:18:32.299999
Горно-Алтайск,Май,16:24:08.032258
Горно-Алтайск,Июнь,17:32:28.799999
Горно-Алтайск,Июль,16:55:57.387096
Горно-Алтайск,Август,15:01:50.548387
Горно-Алтайск,Сентябрь,12:45:50.400000
Горно-Алтайск,Октябрь,10:40:48.999999
Горно-Алтайск,Ноябрь,08:21:22.133333
Горно-Алтайск,Декабрь,07:12:17.129032
Уфа,Январь,07:59:24.967741
Уфа,Февраль,09:41:53.827586
Уфа,Март,11:58:22.806451
Уфа,Апрель,14:18:32.299999
Уфа,Май,16:24:08.032258
Уфа,Июнь,17:32:28.799999
Уфа,Июль,16:55:57.387096
Уфа,Август,15:01:50.548387
Уфа,Сентябрь,12:45:50.400000
Уфа,Октябрь,10:27:21.580645
Уфа,Ноябрь,08:21:22.133333
Уфа,Декабрь,07:12:17.129032
Улан-Удэ,Январь,07:49:02.064515
Улан-Удэ,Февраль,09:41:53.827586
Улан-Удэ,Март,11:58:22.806451
Улан-Удэ,Апрель,14:18:32.299999
Улан-Удэ,Май,15:45:19.967741
Улан-Удэ,Июнь,17:32:28.799999
Улан-Удэ,Июль,16:55:57.387096
Улан-Удэ,Август,15:01:50.548387
Улан-Удэ,Сентябрь,12:45:50.400000
Улан-Удэ,Октябрь,10:27:21.580645
Улан-Удэ,Ноябрь,08:21:22.133333
Улан-Удэ,Декабрь,07:12:17.129032
Махачкала,Январь,07:49:02.064515
Махачкала,Февраль,10:35:30.413793
Махачкала,Март,11:58:22.806451
Махачкала,Апрель,14:18:32.299999
Махачкала,Май,14:43:49.032257
Махачкала,Июнь,17:32:28.799999
Махачкала,Июль,15:01:47.999999
Махачкала,Август,15:01:50.548387
Махачкала,Сентябрь,12:45:50.400000
Махачкала,Октябрь,10:27:21.580645
Махачкала,Ноябрь,08:21:22.133333
Махачкала,Декабрь,07:12:17.129032
Элиста,Январь,07:49:02.064515
Элиста,Февраль,09:41:53.827586
Элиста,Март,11:58:22.806451
Элиста,Апрель,14:18:32.299999
Элиста,Май,16:24:08.032258
Элиста,Июнь,17:32:28.799999
Элиста,Июль,16:55:57.387096
Элиста,Август,15:01:50.548387
Элиста,Сентябрь,12:34:14.700000
Элиста,Октябрь,10:27:21.580645
Элиста,Ноябрь,08:21:22.133333
Элиста,Декабрь,07:12:17.129032
Петрозаводск,Январь,07:49:02.064515
Петрозаводск,Февраль,09:41:53.827586
Петрозаводск,Март,11:58:22.806451
Петрозаводск,Апрель,14:18:32.299999
Петрозаводск,Май,16:24:08.032258
Петрозаводск,Июнь,19:36:21.566667
Петрозаводск,Июль,16:55:57.387096
Петрозаводск,Август,15:01:50.548387
Петрозаводск,Сентябрь,12:57:03.800000
Петрозаводск,Октябрь,10:27:21.580645
Петрозаводск,Ноябрь,07:12:35.233332
Петрозаводск,Декабрь,07:12:17.129032
Сыктывкар,Январь,07:49:02.064515
Сыктывкар,Февраль,09:41:53.827586
Сыктывкар,Март,11:58:22.806451
Сыктывкар,Апрель,14:18:32.299999
Сыктывкар,Май,16:24:08.032258
Сыктывкар,Июнь,17:32:28.799999
Сыктывкар,Июль,16:55:57.387096
Сыктывкар,Август,15:01:50.548387
Сыктывкар,Сентябрь,12:45:50.400000
Сыктывкар,Октябрь,10:27:21.580645
Сыктывкар,Ноябрь,08:21:22.133333
Сыктывкар,Декабрь,07:12:17.129032
Йошкар-Ола,Январь,07:49:02.064515
Йошкар-Ола,Февраль,09:41:53.827586
Йошкар-Ола,Март,11:58:22.806451
Йошкар-Ола,Апрель,14:18:32.299999
Йошкар-Ола,Май,16:24:08.032258
Йошкар-Ола,Июнь,17:32:28.799999
Йошкар-Ола,Июль,16:55:57.387096
Йошкар-Ола,Август,15:01:50.548387
Йошкар-Ола,Сентябрь,12:45:50.400000
Йошкар-Ола,Октябрь,10:27:21.580645
Йошкар-Ола,Ноябрь,08:21:22.133333
Йошкар-Ола,Декабрь,07:12:17.129032
Саранск,Январь,07:49:02.064515
Саранск,Февраль,09:41:53.827586
Саранск,Март,11:58:22.806451
Саранск,Апрель,14:18:32.299999
Саранск,Май,16:24:08.032258
Саранск,Июнь,17:32:28.799999
Саранск,Июль,16:55:57.387096
Саранск,Август,15:01:50.548387
Саранск,Сентябрь,12:45:50.400000
Саранск,Октябрь,10:27:21.580645
Саранск,Ноябрь,08:21:22.133333
Саранск,Декабрь,07:12:17.129032
Якутск,Январь,06:21:17.612902
Якутск,Февраль,09:41:53.827586
Якутск,Март,11:58:22.806451
Якутск,Апрель,14:18:32.299999
Якутск,Май,16:24:08.032258
Якутск,Июнь,17:32:28.799999
Якутск,Июль,16:55:57.387096
Якутск,Август,15:01:50.548387
Якутск,Сентябрь,12:45:50.400000
Якутск,Октябрь,10:27:21.580645
Якутск,Ноябрь,08:21:22.133333
Якутск,Декабрь,07:12:17.129032
Владикавказ,Январь,07:49:02.064515
Владикавказ,Февраль,09:41:53.827586
Владикавказ,Март,11:58:22.806451
Владикавказ,Апрель,14:18:32.299999
Владикавказ,Май,16:24:08.032258
Владикавказ,Июнь,17:32:28.799999
Владикавказ,Июль,16:55:57.387096
Владикавказ,Август,15:01:50.548387
Владикавказ,Сентябрь,12:45:50.400000
Владикавказ,Октябрь,10:27:21.580645
Владикавказ,Ноябрь,08:21:22.133333
Владикавказ,Декабрь,07:12:17.129032
Казань,Январь,07:49:02.064515
Казань,Февраль,09:41:53.827586
Казань,Март,11:58:22.806451
Казань,Апрель,14:18:32.299999
Казань,Май,16:24:08.032258
Казань,Июнь,17:32:28.799999
Казань,Июль,16:55:57.387096
Казань,Август,15:01:50.548387
Казань,Сентябрь,12:45:50.400000
Казань,Октябрь,10:27:21.580645
Казань,Ноябрь,08:21:08.800000
Казань,Декабрь,07:12:17.129032
Кызыл,Январь,09:16:59.129032
Кызыл,Февраль,09:41:53.827586
Кызыл,Март,11:58:22.806451
Кызыл,Апрель,14:18:32.299999
Кызыл,Май,16:24:08.032258
Кызыл,Июнь,17:32:28.799999
Кызыл,Июль,16:55:57.387096
Кызыл,Август,15:01:50.548387
Кызыл,Сентябрь,12:45:50.400000
Кызыл,Октябрь,10:27:21.580645
Кызыл,Ноябрь,08:21:22.133333
Кызыл,Декабрь,07:12:17.129032
Абакан,Январь,07:49:02.064515
Абакан,Февраль,09:41:53.827586
Абакан,Март,11:58:13.548387
Абакан,Апрель,14:18:32.299999
Абакан,Май,16:24:08.032258
Абакан,Июнь,17:32:28.799999
Абакан,Июль,16:55:57.387096
Абакан,Август,15:01:50.548387
Абакан,Сентябрь,12:45:50.400000
Абакан,Октябрь,10:27:21.580645
Абакан,Ноябрь,08:21:22.133333
Абакан,Декабрь,07:12:17.129032
Ростов-На-Дону,Январь,07:49:02.064515
Ростов-На-Дону,Февраль,09:41:53.827586
Ростов-На-Дону,Март,11:58:22.806451
Ростов-На-Дону,Апрель,14:18:32.299999
Ростов-На-Дону,Май,16:24:08.032258
Ростов-На-Дону,Июнь,15:55:36.366667
Ростов-На-Дону,Июль,16:55:57.387096
Ростов-На-Дону,Август,14:13:31.096774
Ростов-На-Дону,Сентябрь,12:45:50.400000
Ростов-На-Дону,Октябрь,10:27:21.580645
Ростов-На-Дону,Ноябрь,08:21:22.133333
Ростов-На-Дону,Декабрь,07:12:17.129032
Рязань,Январь,07:49:02.064515
Рязань,Февраль,09:41:53.827586
Рязань,Март,11:58:22.806451
Рязань,Апрель,14:18:32.299999
Рязань,Май,16:24:08.032258
Рязань,Июнь,17:32:28.799999
Рязань,Июль,16:55:57.387096
Рязань,Август,15:01:50.548387
Рязань,Сентябрь,12:44:10.266667
Рязань,Октябрь,10:27:21.580645
Рязань,Ноябрь,08:21:22.133333
Рязань,Декабрь,07:26:04.387096
Самара,Январь,07:49:02.064515
Самара,Февраль,09:41:53.827586
Самара,Март,11:58:22.806451
Самара,Апрель,14:05:59.766666
Самара,Май,16:24:08.032258
Самара,Июнь,17:32:28.799999
Самара,Июль,16:55:57.387096
Самара,Август,15:01:50.548387
Самара,Сентябрь,12:45:50.400000
Самара,Октябрь,10:27:21.580645
Самара,Ноябрь,08:21:22.133333
Самара,Декабрь,07:12:17.129032
Санкт-Петербург,Январь,07:49:02.064515
Санкт-Петербург,Февраль,09:15:30.275862
Санкт-Петербург,Март,11:58:22.806451
Санкт-Петербург,Апрель,14:18:32.299999
Санкт-Петербург,Май,16:24:08.032258
Санкт-Петербург,Июнь,17:32:28.799999
Санкт-Петербург,Июль,16:55:57.387096
Санкт-Петербург,Август,15:01:50.548387
Санкт-Петербург,Сентябрь,12:45:50.400000
Санкт-Петербург,Октябрь,10:27:21.580645
Санкт-Петербург,Ноябрь,07:37:00.233333
Санкт-Петербург,Декабрь,07:12:17.129032
Саратов,Январь,07:49:02.064515
Саратов,Февраль,09:41:53.827586
Саратов,Март,11:58:22.806451
Саратов,Апрель,14:18:32.299999
Саратов,Май,16:24:08.032258
Саратов,Июнь,17:32:28.799999
Саратов,Июль,16:55:57.387096
Саратов,Август,15:01:50.548387
Саратов,Сентябрь,12:45:50.400000
Саратов,Октябрь,10:27:21.580645
Саратов,Ноябрь,08:21:22.133333
Саратов,Декабрь,07:12:17.129032
Южно-Сахалинск,Январь,07:49:02.064515
Южно-Сахалинск,Февраль,09:41:53.827586
Южно-Сахалинск,Март,11:58:22.806451
Южно-Сахалинск,Апрель,14:18:32.299999
Южно-Сахалинск,Май,16:24:08.032258
Южно-Сахалинск,Июнь,17:32:28.799999
Южно-Сахалинск,Июль,16:55:57.387096
Южно-Сахалинск,Август,15:01:50.548387
Южно-Сахалинск,Сентябрь,12:45:50.400000
Южно-Сахалинск,Октябрь,10:27:21.580645
Южно-Сахалинск,Ноябрь,08:21:22.133333
Южно-Сахалинск,Декабрь,08:39:10.709677
Екатеринбург,Январь,07:36:33.322580
Екатеринбург,Февраль,09:41:53.827586
Екатеринбург,Март,11:57:47.419354
Екатеринбург,Апрель,14:18:32.299999
Екатеринбург,Май,16:24:08.032258
Екатеринбург,Июнь,17:32:28.799999
Екатеринбург,Июль,16:55:57.387096
Екатеринбург,Август,15:01:50.548387
Екатеринбург,Сентябрь,12:45:50.400000
Екатеринбург,Октябрь,10:27:21.580645
Екатеринбург,Ноябрь,08:21:22.133333
Екатеринбург,Декабрь,07:12:17.129032
Смоленск,Январь,07:59:12.258064
Смоленск,Февраль,09:41:53.827586
Смоленск,Март,11:58:22.806451
Смоленск,Апрель,14:18:32.299999
Смоленск,Май,16:24:08.032258
Смоленск,Июнь,17:32:28.799999
Смоленск,Июль,16:55:57.387096
Смоленск,Август,14:55:07.419354
Смоленск,Сентябрь,12:45:50.400000
Смоленск,Октябрь,10:27:21.580645
Смоленск,Ноябрь,08:21:22.133333
Смоленск,Декабрь,07:24:13.548387
Ставрополь,Январь,07:49:02.064515
Ставрополь,Февраль,09:41:53.827586
Ставрополь,Март,11:58:22.806451
Ставрополь,Апрель,13:35:18.933333
Ставрополь,Май,16:24:08.032258
Ставрополь,Июнь,17:32:28.799999
Ставрополь,Июль,16:55:57.387096
Ставрополь,Август,14:03:53.645161
Ставрополь,Сентябрь,12:45:50.400000
Ставрополь,Октябрь,10:27:21.580645
Ставрополь,Ноябрь,08:21:22.133333
Ставрополь,Декабрь,07:12:17.129032
Тамбов,Январь,07:49:02.064515
Тамбов,Февраль,09:41:53.827586
Тамбов,Март,11:58:22.806451
Тамбов,Апрель,14:18:32.299999
Тамбов,Май,16:24:08.032258
Тамбов,Июнь,17:32:28.799999
Тамбов,Июль,16:21:10.999999
Тамбов,Август,15:01:50.548387
Тамбов,Сентябрь,12:45:50.400000
Тамбов,Октябрь,10:27:21.580645
Тамбов,Ноябрь,08:21:22.133333
Тамбов,Декабрь,07:12:17.129032
Тверь,Январь,07:49:02.064515
Тверь,Февраль,09:41:53.827586
Тверь,Март,11:58:22.806451
Тверь,Апрель,14:18:32.299999
Тверь,Май,16:24:08.032258
Тверь,Июнь,17:32:28.799999
Тверь,Июль,16:55:57.387096
Тверь,Август,15:09:53.612903
Тверь,Сентябрь,12:45:50.400000
Тверь,Октябрь,10:27:21.580645
Тверь,Ноябрь,08:10:51.400000
Тверь,Декабрь,07:12:17.129032
Томск,Январь,07:49:02.064515
Томск,Февраль,09:41:53.827586
Томск,Март,11:58:22.806451
Томск,Апрель,14:18:32.299999
Томск,Май,16:24:08.032258
Томск,Июнь,17:43:54.800000
Томск,Июль,16:55:57.387096
Томск,Август,15:01:50.548387
Томск,Сентябрь,12:45:50.400000
Томск,Октябрь,10:25:06.967741
Томск,Ноябрь,08:21:22.133333
Томск,Декабрь,07:02:37.225806
Тула,Январь,07:49:02.064515
Тула,Февраль,09:50:13.793103
Тула,Март,11:58:22.806451
Тула,Апрель,14:10:46.533333
Тула,Май,16:24:08.032258
Тула,Июнь,17:32:28.799999
Тула,Июль,16:55:57.387096
Тула,Август,15:01:50.548387
Тула,Сентябрь,12:45:50.400000
Тула,Октябрь,10:27:21.580645
Тула,Ноябрь,08:21:22.133333
Тула,Декабрь,07:12:17.129032
Тюмень,Январь,07:49:02.064515
Тюмень,Февраль,09:41:53.827586
Тюмень,Март,11:58:22.806451
Тюмень,Апрель,14:18:32.299999
Тюмень,Май,16:24:08.032258
Тюмень,Июнь,17:32:28.799999
Тюмень,Июль,17:15:03.193548
Тюмень,Август,15:01:50.548387
Тюмень,Сентябрь,12:45:50.400000
Тюмень,Октябрь,10:27:21.580645
Тюмень,Ноябрь,08:21:22.133333
Тюмень,Декабрь,07:12:17.129032
Ижевск,Январь,07:49:02.064515
Ижевск,Февраль,09:41:53.827586
Ижевск,Март,11:58:22.806451
Ижевск,Апрель,14:18:32.299999
Ижевск,Май,16:24:08.032258
Ижевск,Июнь,17:32:28.799999
Ижевск,Июль,16:55:57.387096
Ижевск,Август,15:01:50.548387
Ижевск,Сентябрь,12:45:50.400000
Ижевск,Октябрь,10:27:21.580645
Ижевск,Ноябрь,08:11:07.199999
Ижевск,Декабрь,07:12:17.129032
Ульяновск,Январь,07:49:02.064515
Ульяновск,Февраль,09:41:53.827586
Ульяновск,Март,11:58:22.806451
Ульяновск,Апрель,14:18:32.299999
Ульяновск,Май,16:24:08.032258
Ульяновск,Июнь,17:32:28.799999
Ульяновск,Июль,16:55:57.387096
Ульяновск,Август,15:01:50.548387
Ульяновск,Сентябрь,12:45:50.400000
Ульяновск,Октябрь,10:32:37.548386
Ульяновск,Ноябрь,08:21:22.133333
Ульяновск,Декабрь,07:12:17.129032
Хабаровск,Январь,07:49:02.064515
Хабаровск,Февраль,10:15:02.655172
Хабаровск,Март,11:58:22.806451
Хабаровск,Апрель,14:18:32.299999
Хабаровск,Май,16:24:08.032258
Хабаровск,Июнь,17:32:28.799999
Хабаровск,Июль,16:55:57.387096
Хабаровск,Август,15:01:50.548387
Хабаровск,Сентябрь,12:45:50.400000
Хабаровск,Октябрь,10:27:21.580645
Хабаровск,Ноябрь,08:21:22.133333
Хабаровск,Декабрь,07:12:17.129032
Ханты-Мансийск,Январь,07:49:02.064515
Ханты-Мансийск,Февраль,09:06:57.862068
Ханты-Мансийск,Март,11:58:22.806451
Ханты-Мансийск,Апрель,14:18:32.299999
Ханты-Мансийск,Май,16:24:08.032258
Ханты-Мансийск,Июнь,19:14:42.733333
Ханты-Мансийск,Июль,16:55:57.387096
Ханты-Мансийск,Август,15:01:50.548387
Ханты-Мансийск,Сентябрь,12:45:50.400000
Ханты-Мансийск,Октябрь,10:04:55.032258
Ханты-Мансийск,Ноябрь,08:21:22.133333
Ханты-Мансийск,Декабрь,07:12:17.129032
Челябинск,Январь,07:49:02.064515
Челябинск,Февраль,09:41:53.827586
Челябинск,Март,11:58:22.806451
Челябинск,Апрель,14:18:32.299999
Челябинск,Май,16:24:08.032258
Челябинск,Июнь,17:32:28.799999
Челябинск,Июль,16:55:57.387096
Челябинск,Август,15:01:50.548387
Челябинск,Сентябрь,12:45:50.400000
Челябинск,Октябрь,10:27:21.580645
Челябинск,Ноябрь,08:21:22.133333
Челябинск,Декабрь,07:12:17.129032
Грозный,Январь,07:49:02.064515
Грозный,Февраль,09:41:53.827586
Грозный,Март,11:58:22.806451
Грозный,Апрель,14:18:32.299999
Грозный,Май,16:24:08.032258
Грозный,Июнь,17:32:28.799999
Грозный,Июль,15:03:58.419355
Грозный,Август,15:01:50.548387
Грозный,Сентябрь,12:45:50.400000
Грозный,Октябрь,10:27:21.580645
Грозный,Ноябрь,08:21:22.133333
Грозный,Декабрь,07:12:17.129032
Чебоксары,Январь,07:49:02.064515
Чебоксары,Февраль,09:41:53.827586
Чебоксары,Март,11:58:22.806451
Чебоксары,Апрель,14:18:32.299999
Чебоксары,Май,16:24:08.032258
Чебоксары,Июнь,17:32:28.799999
Чебоксары,Июль,16:55:57.387096
Чебоксары,Август,15:01:50.548387
Чебоксары,Сентябрь,12:45:50.400000
Чебоксары,Октябрь,10:27:21.580645
Чебоксары,Ноябрь,08:21:22.133333
Чебоксары,Декабрь,07:12:17.129032
Салехард,Январь,07:49:02.064515
Салехард,Февраль,09:41:53.827586
Салехард,Март,11:58:22.806451
Салехард,Апрель,15:40:49.066666
Салехард,Май,19:55:08.129031
Салехард,Июнь,17:32:28.799999
Салехард,Июль,16:55:57.387096
Салехард,Август,15:01:50.548387
Салехард,Сентябрь,12:45:50.400000
Салехард,Октябрь,10:27:21.580645
Салехард,Ноябрь,08:21:22.133333
Салехард,Декабрь,07:12:17.129032
Ярославль,Январь,07:49:02.064515
Ярославль,Февраль,09:41:53.827586
Ярославль,Март,11:58:22.806451
Ярославль,Апрель,14:18:32.299999
Ярославль,Май,16:24:08.032258
Ярославль,Июнь,17:32:28.799999
Ярославль,Июль,16:55:57.387096
Ярославль,Август,15:01:50.548387
Ярославль,Сентябрь,12:45:50.400000
Ярославль,Октябрь,10:27:21.580645
Ярославль,Ноябрь,08:21:22.133333
Ярославль,Декабрь,07:12:17.129032
Симферополь,Январь,07:49:02.064515
Симферополь,Февраль,09:41:53.827586
Симферополь,Март,11:58:22.806451
Симферополь,Апрель,14:18:32.299999
Симферополь,Май,14:55:44.096773
Симферополь,Июнь,15:36:38.133333
Симферополь,Июль,16:55:57.387096
Симферополь,Август,15:01:50.548387
Симферополь,Сентябрь,12:32:51.366666
Симферополь,Октябрь,10:27:21.580645
Симферополь,Ноябрь,08:21:22.133333
Симферополь,Декабрь,07:12:17.129032
Магас,Январь,09:26:51.096773
Магас,Февраль,09:41:53.827586
Магас,Март,11:58:22.806451
Магас,Апрель,13:29:43.733333
Магас,Май,16:24:08.032258
Магас,Июнь,17:32:28.799999
Магас,Июль,16:55:57.387096
Магас,Август,15:01:50.548387
Магас,Сентябрь,12:45:50.400000
Магас,Октябрь,10:27:21.580645
Магас,Ноябрь,08:21:22.133333
Магас,Декабрь,07:12:17.129032
Анадырь,Январь,07:49:02.064515
Анадырь,Февраль,09:41:53.827586
Анадырь,Март,11:58:22.806451
Анадырь,Апрель,15:19:36.666666
Анадырь,Май,16:24:08.032258
Анадырь,Июнь,17:32:28.799999
Анадырь,Июль,16:55:57.387096
Анадырь,Август,15:01:50.548387
Анадырь,Сентябрь,12:45:50.400000
Анадырь,Октябрь,10:27:21.580645
Анадырь,Ноябрь,08:21:22.133333
Анадырь,Декабрь,07:12:17.129032
